2017-11-11 22:29:26,462 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Load registry store file C:\Users\m1885\.dubbo\dubbo-registry-192.168.28.105.cache, data: {cn.mldn.dibmp.service.ISaleService:dev=empty://192.168.221.1/cn.mldn.dibmp.service.ISaleService?application=mldn-service-web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.service.ISaleService&methods=listCity,edit,findAllGoodsStorageDetails,distributionGoods,insert,findGoodsStorageDetails,list,findAllProcince,findGoodsStorageApply,findGoodsDetailsById,findDistributionDetails,insertDistributionDetails,findAllUnStorageGoods,listDistribution&pid=18308&revision=0.0.1&side=consumer&timestamp=1510407494963&version=dev empty://192.168.221.1/cn.mldn.dibmp.service.ISaleService?application=mldn-service-web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.service.ISaleService&methods=listCity,edit,findAllGoodsStorageDetails,distributionGoods,insert,findGoodsStorageDetails,list,findAllProcince,findGoodsStorageApply,findGoodsDetailsById,findDistributionDetails,insertDistributionDetails,findAllUnStorageGoods,listDistribution&pid=18308&revision=0.0.1&side=consumer&timestamp=1510407494963&version=dev dubbo://192.168.221.1:9999/cn.mldn.dibmp.service.ISaleService?anyhost=true&application=mldn-service-sale&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleService&methods=listCity,edit,findAllGoodsStorageDetails,distributionGoods,insert,findGoodsStorageDetails,list,findAllProcince,findGoodsStorageApply,findGoodsDetailsById,findDistributionDetails,insertDistributionDetails,findAllUnStorageGoods,listDistribution&pid=6732&revision=dev&side=provider&timestamp=1510407220881&version=dev dubbo://192.168.28.130:9999/cn.mldn.dibmp.service.ISaleService?anyhost=true&application=mldn-service-sale&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleService&methods=listCity,edit,distributionGoods,findAllGoodsStorageDetails,insert,findGoodsStorageDetails,list,findAllProcince,findGoodsStorageApply,findDistributionDetails,findGoodsDetailsById,insertDistributionDetails,findAllUnStorageGoods,listDistribution&pid=6880&revision=dev&side=provider&timestamp=1510406746019&version=dev, cn.mldn.dibmp.wt.service.IStorgeRecordService:dev=empty://192.168.221.1:9811/cn.mldn.dibmp.wt.service.IStorgeRecordService?anyhost=true&application=mldn-service-finance&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.wt.service.IStorgeRecordService&methods=add,listRecord&pid=10320&revision=dev&side=provider&timestamp=1510410540745&version=dev, cn.mldn.dibmp.wt.service.IStorgeInputService:dev=empty://192.168.221.1:9811/cn.mldn.dibmp.wt.service.IStorgeInputService?anyhost=true&application=mldn-service-finance&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.wt.service.IStorgeInputService&methods=listInputBcke,isSaidVo&pid=10320&revision=dev&side=provider&timestamp=1510410541231&version=dev, cn.mldn.dibmp.ccc.service.IStorgeApplyService:dev=empty://192.168.221.1/cn.mldn.dibmp.ccc.service.IStorgeApplyService?application=mldn-service-web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.ccc.service.IStorgeApplyService&methods=add&pid=7428&revision=0.0.1&side=consumer&timestamp=1510319908447&version=dev empty://192.168.221.1/cn.mldn.dibmp.ccc.service.IStorgeApplyService?application=mldn-service-web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.ccc.service.IStorgeApplyService&methods=add&pid=7428&revision=0.0.1&side=consumer&timestamp=1510319908447&version=dev empty://192.168.221.1/cn.mldn.dibmp.ccc.service.IStorgeApplyService?application=mldn-service-web&category=providers&dubbo=2.5.6&interface=cn.mldn.dibmp.ccc.service.IStorgeApplyService&methods=add&pid=7428&revision=0.0.1&side=consumer&timestamp=1510319908447&version=dev, cn.mldn.dibmp.ccc.service.ICityService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.ICityService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.ICityService&methods=listByProvince&pid=9920&revision=dev&side=provider&timestamp=1510410557808&version=dev, cn.mldn.dibmp.ccc.service.IWitemService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IWitemService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IWitemService&methods=list&pid=9920&revision=dev&side=provider&timestamp=1510410550928&version=dev, cn.mldn.dibmp.ccc.service.IProvinceService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=9920&revision=dev&side=provider&timestamp=1510410558410&version=dev, cn.mldn.dibmp.ccc.service.ISubtypeService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.ISubtypeService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.ISubtypeService&methods=findByWiid&pid=9920&revision=dev&side=provider&timestamp=1510410556857&version=dev, cn.mldn.dibmp.ccc.service.IWarehouseService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IWarehouseService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IWarehouseService&methods=listByWitem&pid=9920&revision=dev&side=provider&timestamp=1510410557634&version=dev, cn.mldn.dibmp.ccc.service.IMarketService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IMarketService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IMarketService&methods=addStorageApply,show,saveGoods,removeGoods&pid=9920&revision=dev&side=provider&timestamp=1510410557356&version=dev, cn.mldn.dibmp.fyh.service.IWarehouseService:dev=empty://192.168.221.1:9633/cn.mldn.dibmp.fyh.service.IWarehouseService?anyhost=true&application=mldn-service-warehouse&category=configurators&check=false&default.timeout=20000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.fyh.service.IWarehouseService&methods=add,removeStorageApply,testAddBatch,addAdmin,addPre,inSubmit,listStorageApply,list&pid=11780&revision=dev&side=provider&timestamp=1510407238375&version=dev, cn.mldn.dibmp.ccc.service.IGoodsService:dev=empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IGoodsService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IGoodsService&methods=add,findById,update,findByName,list,editPre&pid=9920&revision=dev&side=provider&timestamp=1510410558122&version=dev, cn.mldn.dibmp.wt.service.IStorgeApplyDetailsService:dev=empty://192.168.221.1:9811/cn.mldn.dibmp.wt.service.IStorgeApplyDetailsService?anyhost=true&application=mldn-service-finance&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.wt.service.IStorgeApplyDetailsService&methods=add,findBySadid,editSaid,listEditNum,listGoodsBack&pid=10320&revision=dev&side=provider&timestamp=1510410540369&version=dev, cn.mldn.dibmp.wt.service.IStorgeApplyService:dev=empty://192.168.221.1:9811/cn.mldn.dibmp.wt.service.IStorgeApplyService?anyhost=true&application=mldn-service-finance&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.wt.service.IStorgeApplyService&methods=add,getWarehouseGoodsBySaid,updateStatus,listSplitFont,listWareHouseAndApplyByWid&pid=10320&revision=dev&side=provider&timestamp=1510410534012&version=dev, cn.mldn.dibmp.service.IMemberService:dev=empty://192.168.221.1/cn.mldn.dibmp.service.IMemberService?application=mldn-service-web&category=configurators&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getDeptAndLevelByMember,getByDid&pid=18308&revision=0.0.1&side=consumer&timestamp=1510407477492&version=dev empty://192.168.221.1/cn.mldn.dibmp.service.IMemberService?application=mldn-service-web&category=routers&dubbo=2.5.6&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getDeptAndLevelByMember,getByDid&pid=18308&revision=0.0.1&side=consumer&timestamp=1510407477492&version=dev dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getDeptAndLevelByMember,getByDid&pid=1352&revision=dev&side=provider&timestamp=1510407205447&version=dev dubbo://192.168.28.130:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getDeptAndLevelByMember,getByDid&pid=4284&revision=dev&side=provider&timestamp=1510406732223&version=dev}, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:29:31,064 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid,getDeptAndLevelByMember&pid=2260&revision=dev&side=provider&timestamp=1510410566089&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:29:31,948 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid,getDeptAndLevelByMember&pid=2260&revision=dev&side=provider&timestamp=1510410566089&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:29:32,055 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid,getDeptAndLevelByMember&pid=2260&revision=dev&side=provider&timestamp=1510410566089&version=dev, urls: [empty://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid,getDeptAndLevelByMember&pid=2260&revision=dev&side=provider&timestamp=1510410566089&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:29:32,098 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:36:17,110 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9327. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-11 22:36:17,113 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:2864,url:dubbo://192.168.221.1:9327/cn.mldn.dibmp.service.IMemberService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.IMemberService&methods=getRoleAndActionByMember,get,getByDid,getDeptAndLevelByMember&pid=2260&revision=dev&side=provider&timestamp=1510410566089&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 00:25:45,197 INFO [com.alibaba.dubbo.common.logger.LoggerFactory] - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2017-11-12 00:25:45,338 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Use container type([spring]) to run dubbo serivce., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 00:25:49,120 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: cn.mldn.dibmp.service.IMemberService, dubbo version: 2.5.6, current host: 127.0.0.1
